species_label,organism_name,ncbi_accession,genomic_accession,ncbi_seq_id,assembly_accession,gene_symbol,locus_tag,source_type,length_nt,terminal_stop_removed,stratum,used_in_main_benchmark
ecoli,Escherichia coli,AAC74075.1,U00096.3,lcl|U00096.3_cds_AAC74075.1_968,GCA_000005845.2,cspG,b0990,CDS_FASTA,213,yes,L1_short,yes
ecoli,Escherichia coli,AAC74076.1,U00096.3,lcl|U00096.3_cds_AAC74076.1_970,GCA_000005845.2,ymcE,b0991,CDS_FASTA,231,yes,L1_short,yes
ecoli,Escherichia coli,AAC74088.1,U00096.3,lcl|U00096.3_cds_AAC74088.1_983,GCA_000005845.2,yccJ,b1003,CDS_FASTA,228,yes,L1_short,yes
ecoli,Escherichia coli,AAC74090.2,U00096.3,lcl|U00096.3_cds_AAC74090.2_985,GCA_000005845.2,ymdF,b4518,CDS_FASTA,174,yes,L1_short,yes
ecoli,Escherichia coli,AAC74134.1,U00096.3,lcl|U00096.3_cds_AAC74134.1_1025,GCA_000005845.2,yceK,b1050,CDS_FASTA,228,yes,L1_short,yes
ecoli,Escherichia coli,AAC74173.1,U00096.3,lcl|U00096.3_cds_AAC74173.1_1063,GCA_000005845.2,rpmF,b1089,CDS_FASTA,174,yes,L1_short,yes
ecoli,Escherichia coli,AAC74234.1,U00096.3,lcl|U00096.3_cds_AAC74234.1_1125,GCA_000005845.2,ymfR,b1150,CDS_FASTA,183,yes,L1_short,yes
ecoli,Escherichia coli,AAC74248.1,U00096.3,lcl|U00096.3_cds_AAC74248.1_1139,GCA_000005845.2,ycgZ,b1164,CDS_FASTA,237,yes,L1_short,yes
ecoli,Escherichia coli,AAC74365.1,U00096.3,lcl|U00096.3_cds_AAC74365.1_1265,GCA_000005845.2,osmB,b1283,CDS_FASTA,219,yes,L1_short,yes
ecoli,Escherichia coli,AAC74387.1,U00096.3,lcl|U00096.3_cds_AAC74387.1_1291,GCA_000005845.2,pspB,b1305,CDS_FASTA,225,yes,L1_short,yes
ecoli,Escherichia coli,AAC74429.1,U00096.3,lcl|U00096.3_cds_AAC74429.1_1336,GCA_000005845.2,rcbA,b1347,CDS_FASTA,210,yes,L1_short,yes
ecoli,Escherichia coli,AAC74430.1,U00096.3,lcl|U00096.3_cds_AAC74430.1_1337,GCA_000005845.2,ralR,b1348,CDS_FASTA,195,yes,L1_short,yes
ecoli,Escherichia coli,AAC74434.2,U00096.3,lcl|U00096.3_cds_AAC74434.2_1342,GCA_000005845.2,kilR,b1352,CDS_FASTA,222,yes,L1_short,yes
ecoli,Escherichia coli,AAC74437.2,U00096.3,lcl|U00096.3_cds_AAC74437.2_1345,GCA_000005845.2,ydaG,b1355,CDS_FASTA,135,yes,L1_short,yes
ecoli,Escherichia coli,AAC74501.1,U00096.3,lcl|U00096.3_cds_AAC74501.1_1406,GCA_000005845.2,ydcA,b1419,CDS_FASTA,174,yes,L1_short,yes
ecoli,Escherichia coli,AAC74508.2,U00096.3,lcl|U00096.3_cds_AAC74508.2_1414,GCA_000005845.2,ydcH,b1426,CDS_FASTA,225,yes,L1_short,yes
ecoli,Escherichia coli,AAC74518.1,U00096.3,lcl|U00096.3_cds_AAC74518.1_1424,GCA_000005845.2,yncJ,b1436,CDS_FASTA,231,yes,L1_short,yes
ecoli,Escherichia coli,AAC74527.2,U00096.3,lcl|U00096.3_cds_AAC74527.2_1434,GCA_000005845.2,ortT,b1445,CDS_FASTA,174,yes,L1_short,yes
ecoli,Escherichia coli,AAC74528.1,U00096.3,lcl|U00096.3_cds_AAC74528.1_1435,GCA_000005845.2,ydcY,b1446,CDS_FASTA,234,yes,L1_short,yes
ecoli,Escherichia coli,AAC74543.1,U00096.3,lcl|U00096.3_cds_AAC74543.1_1448,GCA_000005845.2,pptA,b1461,CDS_FASTA,234,yes,L1_short,yes
ecoli,Escherichia coli,AAC74553.1,U00096.3,lcl|U00096.3_cds_AAC74553.1_1466,GCA_000005845.2,sra,b1480,CDS_FASTA,138,yes,L1_short,yes
ecoli,Escherichia coli,AAC74554.2,U00096.3,lcl|U00096.3_cds_AAC74554.2_1467,GCA_000005845.2,bdm,b1481,CDS_FASTA,216,yes,L1_short,yes
ecoli,Escherichia coli,AAC74573.1,U00096.3,lcl|U00096.3_cds_AAC74573.1_1488,GCA_000005845.2,safA,b1500,CDS_FASTA,198,yes,L1_short,yes
ecoli,Escherichia coli,AAC74605.1,U00096.3,lcl|U00096.3_cds_AAC74605.1_1517,GCA_000005845.2,marB,b1532,CDS_FASTA,219,yes,L1_short,yes
ecoli,Escherichia coli,AAC74614.1,U00096.3,lcl|U00096.3_cds_AAC74614.1_1528,GCA_000005845.2,ydfZ,b1541,CDS_FASTA,204,yes,L1_short,yes
ecoli,Escherichia coli,AAC74617.2,U00096.3,lcl|U00096.3_cds_AAC74617.2_1532,GCA_000005845.2,ydfK,b1544,CDS_FASTA,234,yes,L1_short,yes
ecoli,Escherichia coli,AAC74625.1,U00096.3,lcl|U00096.3_cds_AAC74625.1_1543,GCA_000005845.2,cspI,b1552,CDS_FASTA,213,yes,L1_short,yes
ecoli,Escherichia coli,AAC74629.2,U00096.3,lcl|U00096.3_cds_AAC74629.2_1548,GCA_000005845.2,essQ,b1556,CDS_FASTA,216,yes,L1_short,yes
ecoli,Escherichia coli,AAC74635.1,U00096.3,lcl|U00096.3_cds_AAC74635.1_1556,GCA_000005845.2,hokD,b1562,CDS_FASTA,156,yes,L1_short,yes
ecoli,Escherichia coli,AAC74642.1,U00096.3,lcl|U00096.3_cds_AAC74642.1_1563,GCA_000005845.2,dicC,b1569,CDS_FASTA,231,yes,L1_short,yes
ecoli,Escherichia coli,AAC74644.1,U00096.3,lcl|U00096.3_cds_AAC74644.1_1565,GCA_000005845.2,ydfA,b1571,CDS_FASTA,156,yes,L1_short,yes
ecoli,Escherichia coli,AAC74645.2,U00096.3,lcl|U00096.3_cds_AAC74645.2_1566,GCA_000005845.2,ydfB,b1572,CDS_FASTA,129,yes,L1_short,yes
ecoli,Escherichia coli,AAC74646.1,U00096.3,lcl|U00096.3_cds_AAC74646.1_1567,GCA_000005845.2,ydfC,b1573,CDS_FASTA,219,yes,L1_short,yes
ecoli,Escherichia coli,AAC74647.1,U00096.3,lcl|U00096.3_cds_AAC74647.1_1568,GCA_000005845.2,dicB,b1575,CDS_FASTA,189,yes,L1_short,yes
ecoli,Escherichia coli,AAC74745.1,U00096.3,lcl|U00096.3_cds_AAC74745.1_1668,GCA_000005845.2,fumD,b1675,CDS_FASTA,210,yes,L1_short,yes
ecoli,Escherichia coli,AAC74747.1,U00096.3,lcl|U00096.3_cds_AAC74747.1_1671,GCA_000005845.2,lpp,b1677,CDS_FASTA,237,yes,L1_short,yes
ecoli,Escherichia coli,AAC74755.2,U00096.3,lcl|U00096.3_cds_AAC74755.2_1679,GCA_000005845.2,ydiH,b1685,CDS_FASTA,189,yes,L1_short,yes
ecoli,Escherichia coli,AAC74866.1,U00096.3,lcl|U00096.3_cds_AAC74866.1_1791,GCA_000005845.2,yoaG,b1796,CDS_FASTA,183,yes,L1_short,yes
ecoli,Escherichia coli,AAC74894.1,U00096.3,lcl|U00096.3_cds_AAC74894.1_1820,GCA_000005845.2,yobF,b1824,CDS_FASTA,144,yes,L1_short,yes
ecoli,Escherichia coli,AAC74912.1,U00096.3,lcl|U00096.3_cds_AAC74912.1_1839,GCA_000005845.2,holE,b1842,CDS_FASTA,231,yes,L1_short,yes
ecoli,Escherichia coli,AAC74976.1,U00096.3,lcl|U00096.3_cds_AAC74976.1_1906,GCA_000005845.2,yecH,b1906,CDS_FASTA,240,yes,L1_short,yes
ecoli,Escherichia coli,AAC74982.1,U00096.3,lcl|U00096.3_cds_AAC74982.1_1913,GCA_000005845.2,yecF,b1915,CDS_FASTA,225,yes,L1_short,yes
ecoli,Escherichia coli,AAC75019.1,U00096.3,lcl|U00096.3_cds_AAC75019.1_1946,GCA_000005845.2,dsrB,b1952,CDS_FASTA,189,yes,L1_short,yes
ecoli,Escherichia coli,AAC75020.2,U00096.3,lcl|U00096.3_cds_AAC75020.2_1947,GCA_000005845.2,yodD,b1953,CDS_FASTA,228,yes,L1_short,yes
ecoli,Escherichia coli,AAC75023.1,U00096.3,lcl|U00096.3_cds_AAC75023.1_1950,GCA_000005845.2,yodC,b1957,CDS_FASTA,183,yes,L1_short,yes
ecoli,Escherichia coli,AAC75064.1,U00096.3,lcl|U00096.3_cds_AAC75064.1_1984,GCA_000005845.2,yeeT,b2003,CDS_FASTA,222,yes,L1_short,yes
ecoli,Escherichia coli,AAC75073.1,U00096.3,lcl|U00096.3_cds_AAC75073.1_1995,GCA_000005845.2,tsuB,b2012,CDS_FASTA,228,yes,L1_short,yes
ecoli,Escherichia coli,AAC75143.1,U00096.3,lcl|U00096.3_cds_AAC75143.1_2069,GCA_000005845.2,ogrK,b2082,CDS_FASTA,219,yes,L1_short,yes
ecoli,Escherichia coli,AAC75206.1,U00096.3,lcl|U00096.3_cds_AAC75206.1_2127,GCA_000005845.2,yeiS,b2145,CDS_FASTA,240,yes,L1_short,yes
ecoli,Escherichia coli,AAC75248.1,U00096.3,lcl|U00096.3_cds_AAC75248.1_2170,GCA_000005845.2,yejL,b2187,CDS_FASTA,228,yes,L1_short,yes
ecoli,Escherichia coli,AAC75672.1,U00096.3,lcl|U00096.3_cds_AAC75672.1_2603,GCA_000005845.2,alpA,b2624,CDS_FASTA,213,yes,L1_short,yes
ecoli,Escherichia coli,AAC75713.1,U00096.3,lcl|U00096.3_cds_AAC75713.1_2634,GCA_000005845.2,yqaE,b2666,CDS_FASTA,159,yes,L1_short,yes
ecoli,Escherichia coli,AAC75851.2,U00096.3,lcl|U00096.3_cds_AAC75851.2_2770,GCA_000005845.2,ygdI,b2809,CDS_FASTA,228,yes,L1_short,yes
ecoli,Escherichia coli,AAC75976.2,U00096.3,lcl|U00096.3_cds_AAC75976.2_2890,GCA_000005845.2,yqgB,b2939,CDS_FASTA,132,yes,L1_short,yes
ecoli,Escherichia coli,AAC75977.1,U00096.3,lcl|U00096.3_cds_AAC75977.1_2892,GCA_000005845.2,yqgC,b2940,CDS_FASTA,216,yes,L1_short,yes
ecoli,Escherichia coli,AAC76101.1,U00096.3,lcl|U00096.3_cds_AAC76101.1_3016,GCA_000005845.2,rpsU,b3065,CDS_FASTA,216,yes,L1_short,yes
ecoli,Escherichia coli,AAC76295.1,U00096.3,lcl|U00096.3_cds_AAC76295.1_3207,GCA_000005845.2,yhdU,b3263,CDS_FASTA,180,yes,L1_short,yes
ecoli,Escherichia coli,AAC76324.1,U00096.3,lcl|U00096.3_cds_AAC76324.1_3235,GCA_000005845.2,rpmJ,b3299,CDS_FASTA,117,yes,L1_short,yes
ecoli,Escherichia coli,AAC76327.1,U00096.3,lcl|U00096.3_cds_AAC76327.1_3238,GCA_000005845.2,rpmD,b3302,CDS_FASTA,180,yes,L1_short,yes
ecoli,Escherichia coli,AAC76337.1,U00096.3,lcl|U00096.3_cds_AAC76337.1_3248,GCA_000005845.2,rpmC,b3312,CDS_FASTA,192,yes,L1_short,yes
ecoli,Escherichia coli,AAC76435.1,U00096.3,lcl|U00096.3_cds_AAC76435.1_3347,GCA_000005845.2,feoC,b3410,CDS_FASTA,237,yes,L1_short,yes
ecoli,Escherichia coli,AAC76560.1,U00096.3,lcl|U00096.3_cds_AAC76560.1_3473,GCA_000005845.2,yhjR,b3535,CDS_FASTA,189,yes,L1_short,yes
ecoli,Escherichia coli,AAC76580.1,U00096.3,lcl|U00096.3_cds_AAC76580.1_3494,GCA_000005845.2,cspA,b3556,CDS_FASTA,213,yes,L1_short,yes
ecoli,Escherichia coli,AAC76660.1,U00096.3,lcl|U00096.3_cds_AAC76660.1_3582,GCA_000005845.2,rpmG,b3636,CDS_FASTA,168,yes,L1_short,yes
ecoli,Escherichia coli,AAC76661.1,U00096.3,lcl|U00096.3_cds_AAC76661.1_3583,GCA_000005845.2,rpmB,b3637,CDS_FASTA,237,yes,L1_short,yes
ecoli,Escherichia coli,AAC76695.1,U00096.3,lcl|U00096.3_cds_AAC76695.1_3619,GCA_000005845.2,ivbL,b3672,CDS_FASTA,99,yes,L1_short,yes
ecoli,Escherichia coli,AAC76918.1,U00096.3,lcl|U00096.3_cds_AAC76918.1_3867,GCA_000005845.2,rpmE,b3936,CDS_FASTA,213,yes,L1_short,yes
ecoli,Escherichia coli,AAC77015.1,U00096.3,lcl|U00096.3_cds_AAC77015.1_3963,GCA_000005845.2,yjbJ,b4045,CDS_FASTA,210,yes,L1_short,yes
ecoli,Escherichia coli,AAC77087.1,U00096.3,lcl|U00096.3_cds_AAC77087.1_4047,GCA_000005845.2,yjdI,b4126,CDS_FASTA,231,yes,L1_short,yes
ecoli,Escherichia coli,AAC77133.1,U00096.3,lcl|U00096.3_cds_AAC77133.1_4097,GCA_000005845.2,yjeT,b4176,CDS_FASTA,198,yes,L1_short,yes
ecoli,Escherichia coli,AAC77159.1,U00096.3,lcl|U00096.3_cds_AAC77159.1_4123,GCA_000005845.2,rpsR,b4202,CDS_FASTA,228,yes,L1_short,yes
ecoli,Escherichia coli,AAC77203.1,U00096.3,lcl|U00096.3_cds_AAC77203.1_4164,GCA_000005845.2,pyrL,b4246,CDS_FASTA,135,yes,L1_short,yes
ecoli,Escherichia coli,AAC77309.1,U00096.3,lcl|U00096.3_cds_AAC77309.1_4268,GCA_000005845.2,yjiX,b4353,CDS_FASTA,204,yes,L1_short,yes
ecoli,Escherichia coli,AAC77355.1,U00096.3,lcl|U00096.3_cds_AAC77355.1_4316,GCA_000005845.2,yjjY,b4402,CDS_FASTA,141,yes,L1_short,yes
ecoli,Escherichia coli,AAC77487.1,U00096.3,lcl|U00096.3_cds_AAC77487.1_3709,GCA_000005845.2,ilvL,b3766,CDS_FASTA,99,yes,L1_short,yes
ecoli,Escherichia coli,AAD13451.4,U00096.3,lcl|U00096.3_cds_AAD13451.4_3821,GCA_000005845.2,yiiE,b3889,CDS_FASTA,219,yes,L1_short,yes
ecoli,Escherichia coli,AAT48125.1,U00096.3,lcl|U00096.3_cds_AAT48125.1_573,GCA_000005845.2,hokE,b4415,CDS_FASTA,153,yes,L1_short,yes
ecoli,Escherichia coli,AAT48130.1,U00096.3,lcl|U00096.3_cds_AAT48130.1_1408,GCA_000005845.2,hokB,b4428,CDS_FASTA,150,yes,L1_short,yes
ecoli,Escherichia coli,AAT48132.1,U00096.3,lcl|U00096.3_cds_AAT48132.1_1618,GCA_000005845.2,blr,b4409,CDS_FASTA,126,yes,L1_short,yes
ecoli,Escherichia coli,AAT48191.1,U00096.3,lcl|U00096.3_cds_AAT48191.1_3496,GCA_000005845.2,hokA,b4455,CDS_FASTA,153,yes,L1_short,yes
ecoli,Escherichia coli,AAT48237.1,U00096.3,lcl|U00096.3_cds_AAT48237.1_3913,GCA_000005845.2,thiS,b4407,CDS_FASTA,201,yes,L1_short,yes
ecoli,Escherichia coli,AAT48241.1,U00096.3,lcl|U00096.3_cds_AAT48241.1_4069,GCA_000005845.2,ecnA,b4410,CDS_FASTA,126,yes,L1_short,yes
ecoli,Escherichia coli,ABD18634.1,U00096.3,lcl|U00096.3_cds_ABD18634.1_241,GCA_000005845.2,ykfH,b4504,CDS_FASTA,222,yes,L1_short,yes
ecoli,Escherichia coli,ABD18636.1,U00096.3,lcl|U00096.3_cds_ABD18636.1_292,GCA_000005845.2,ykgO,b4506,CDS_FASTA,141,yes,L1_short,yes
ecoli,Escherichia coli,ABD18640.1,U00096.3,lcl|U00096.3_cds_ABD18640.1_547,GCA_000005845.2,rzoD,b4510,CDS_FASTA,183,yes,L1_short,yes
ecoli,Escherichia coli,ABD18641.1,U00096.3,lcl|U00096.3_cds_ABD18641.1_578,GCA_000005845.2,ybdZ,b4511,CDS_FASTA,219,yes,L1_short,yes
ecoli,Escherichia coli,ABD18642.1,U00096.3,lcl|U00096.3_cds_ABD18642.1_592,GCA_000005845.2,ybdD,b4512,CDS_FASTA,198,yes,L1_short,yes
ecoli,Escherichia coli,ABD18645.1,U00096.3,lcl|U00096.3_cds_ABD18645.1_716,GCA_000005845.2,cydX,b4515,CDS_FASTA,114,yes,L1_short,yes
ecoli,Escherichia coli,ABD18656.2,U00096.3,lcl|U00096.3_cds_ABD18656.2_1256,GCA_000005845.2,yciX,b4523,CDS_FASTA,168,yes,L1_short,yes
ecoli,Escherichia coli,ABD18660.1,U00096.3,lcl|U00096.3_cds_ABD18660.1_1352,GCA_000005845.2,rzoR,b4528,CDS_FASTA,186,yes,L1_short,yes
ecoli,Escherichia coli,ABD18667.1,U00096.3,lcl|U00096.3_cds_ABD18667.1_1537,GCA_000005845.2,ynfO,b4533,CDS_FASTA,234,yes,L1_short,yes
ecoli,Escherichia coli,ABD18671.2,U00096.3,lcl|U00096.3_cds_ABD18671.2_1714,GCA_000005845.2,yniD,b4535,CDS_FASTA,108,yes,L1_short,yes
ecoli,Escherichia coli,ABD18672.1,U00096.3,lcl|U00096.3_cds_ABD18672.1_1823,GCA_000005845.2,yobH,b4536,CDS_FASTA,240,yes,L1_short,yes
ecoli,Escherichia coli,ABD18688.1,U00096.3,lcl|U00096.3_cds_ABD18688.1_2110,GCA_000005845.2,yohO,b4542,CDS_FASTA,108,yes,L1_short,yes
ecoli,Escherichia coli,ABD18695.1,U00096.3,lcl|U00096.3_cds_ABD18695.1_2343,GCA_000005845.2,torI,b4501,CDS_FASTA,201,yes,L1_short,yes
ecoli,Escherichia coli,ABD18696.1,U00096.3,lcl|U00096.3_cds_ABD18696.1_2387,GCA_000005845.2,ypeB,b4546,CDS_FASTA,219,yes,L1_short,yes
ecoli,Escherichia coli,ABD18697.1,U00096.3,lcl|U00096.3_cds_ABD18697.1_2451,GCA_000005845.2,ypfN,b4547,CDS_FASTA,201,yes,L1_short,yes
ecoli,Escherichia coli,ABD18698.1,U00096.3,lcl|U00096.3_cds_ABD18698.1_2621,GCA_000005845.2,ypjJ,b4548,CDS_FASTA,201,yes,L1_short,yes
ecoli,Escherichia coli,ABD18701.1,U00096.3,lcl|U00096.3_cds_ABD18701.1_3286,GCA_000005845.2,yheV,b4551,CDS_FASTA,201,yes,L1_short,yes
ecoli,Escherichia coli,ABD18704.1,U00096.3,lcl|U00096.3_cds_ABD18704.1_3544,GCA_000005845.2,yibT,b4554,CDS_FASTA,210,yes,L1_short,yes
ecoli,Escherichia coli,ABD18711.1,U00096.3,lcl|U00096.3_cds_ABD18711.1_4050,GCA_000005845.2,ghoT,b4559,CDS_FASTA,174,yes,L1_short,yes
ecoli,Escherichia coli,ABD18719.1,U00096.3,lcl|U00096.3_cds_ABD18719.1_4283,GCA_000005845.2,yjjZ,b4567,CDS_FASTA,237,yes,L1_short,yes
ecoli,Escherichia coli,ABD18720.2,U00096.3,lcl|U00096.3_cds_ABD18720.2_4290,GCA_000005845.2,ytjA,b4568,CDS_FASTA,162,yes,L1_short,yes
ecoli,Escherichia coli,ABP93436.1,U00096.3,lcl|U00096.3_cds_ABP93436.1_551,GCA_000005845.2,ylcI,b4589,CDS_FASTA,195,yes,L1_short,yes
ecoli,Escherichia coli,ABP93439.1,U00096.3,lcl|U00096.3_cds_ABP93439.1_956,GCA_000005845.2,appX,b4592,CDS_FASTA,93,yes,L1_short,yes
ecoli,Escherichia coli,ABP93440.1,U00096.3,lcl|U00096.3_cds_ABP93440.1_1147,GCA_000005845.2,ymgI,b4593,CDS_FASTA,174,yes,L1_short,yes
ecoli,Escherichia coli,ABP93442.1,U00096.3,lcl|U00096.3_cds_ABP93442.1_1228,GCA_000005845.2,yciY,b4595,CDS_FASTA,174,yes,L1_short,yes
ecoli,Escherichia coli,ABP93443.1,U00096.3,lcl|U00096.3_cds_ABP93443.1_1267,GCA_000005845.2,yciZ,b4596,CDS_FASTA,174,yes,L1_short,yes
ecoli,Escherichia coli,ACO59989.1,U00096.3,lcl|U00096.3_cds_ACO59989.1_70,GCA_000005845.2,sgrT,b4662,CDS_FASTA,132,yes,L1_short,yes
ecoli,Escherichia coli,ACO59990.1,U00096.3,lcl|U00096.3_cds_ACO59990.1_294,GCA_000005845.2,ykgR,b4671,CDS_FASTA,102,yes,L1_short,yes
ecoli,Escherichia coli,AHA50631.1,U00096.3,lcl|U00096.3_cds_AHA50631.1_793,GCA_000005845.2,mntS,b4705,CDS_FASTA,129,yes,L1_short,yes
ecoli,Escherichia coli,AYC08171.1,U00096.3,lcl|U00096.3_cds_AYC08171.1_268,GCA_000005845.2,ykgS,b4688,CDS_FASTA,129,yes,L1_short,yes
ecoli,Escherichia coli,AYC08182.1,U00096.3,lcl|U00096.3_cds_AYC08182.1_531,GCA_000005845.2,ylcJ,b4733,CDS_FASTA,150,yes,L1_short,yes
ecoli,Escherichia coli,AYC08184.1,U00096.3,lcl|U00096.3_cds_AYC08184.1_554,GCA_000005845.2,tfaX,b0563,CDS_FASTA,186,yes,L1_short,yes
ecoli,Escherichia coli,AYC08187.1,U00096.3,lcl|U00096.3_cds_AYC08187.1_702,GCA_000005845.2,ybgU,b4735,CDS_FASTA,108,yes,L1_short,yes
ecoli,Escherichia coli,AYC08195.1,U00096.3,lcl|U00096.3_cds_AYC08195.1_1135,GCA_000005845.2,ymgL,b4739,CDS_FASTA,111,yes,L1_short,yes
ecoli,Escherichia coli,AYC08199.1,U00096.3,lcl|U00096.3_cds_AYC08199.1_1257,GCA_000005845.2,ymiC,b4741,CDS_FASTA,96,yes,L1_short,yes
ecoli,Escherichia coli,AYC08200.1,U00096.3,lcl|U00096.3_cds_AYC08200.1_1282,GCA_000005845.2,ymjE,b4742,CDS_FASTA,165,yes,L1_short,yes
ecoli,Escherichia coli,AYC08212.1,U00096.3,lcl|U00096.3_cds_AYC08212.1_1484,GCA_000005845.2,yneP,b4747,CDS_FASTA,123,yes,L1_short,yes
ecoli,Escherichia coli,AYC08215.1,U00096.3,lcl|U00096.3_cds_AYC08215.1_1531,GCA_000005845.2,ynfT,b4748,CDS_FASTA,114,yes,L1_short,yes
ecoli,Escherichia coli,AYC08224.1,U00096.3,lcl|U00096.3_cds_AYC08224.1_1912,GCA_000005845.2,yecU,b4752,CDS_FASTA,177,yes,L1_short,yes
ecoli,Escherichia coli,AYC08225.1,U00096.3,lcl|U00096.3_cds_AYC08225.1_1987,GCA_000005845.2,yeeW,b2006,CDS_FASTA,195,yes,L1_short,yes
ecoli,Escherichia coli,AYC08230.1,U00096.3,lcl|U00096.3_cds_AYC08230.1_2214,GCA_000005845.2,ypaB,b4605,CDS_FASTA,144,yes,L1_short,yes
ecoli,Escherichia coli,AYC08233.1,U00096.3,lcl|U00096.3_cds_AYC08233.1_2342,GCA_000005845.2,ypdJ,b4545,CDS_FASTA,141,yes,L1_short,yes
ecoli,Escherichia coli,AYC08234.1,U00096.3,lcl|U00096.3_cds_AYC08234.1_2556,GCA_000005845.2,rseD,b4725,CDS_FASTA,156,yes,L1_short,yes
ecoli,Escherichia coli,AYC08244.1,U00096.3,lcl|U00096.3_cds_AYC08244.1_2952,GCA_000005845.2,yqhI,b4755,CDS_FASTA,144,yes,L1_short,yes
ecoli,Escherichia coli,AYC08246.1,U00096.3,lcl|U00096.3_cds_AYC08246.1_2989,GCA_000005845.2,yqiD,b4756,CDS_FASTA,171,yes,L1_short,yes
ecoli,Escherichia coli,AYC08258.1,U00096.3,lcl|U00096.3_cds_AYC08258.1_4239,GCA_000005845.2,ytiC,b4720,CDS_FASTA,102,yes,L1_short,yes
ecoli,Escherichia coli,AYC08259.1,U00096.3,lcl|U00096.3_cds_AYC08259.1_4240,GCA_000005845.2,ytiD,b4721,CDS_FASTA,144,yes,L1_short,yes
ecoli,Escherichia coli,QNV50519.1,U00096.3,lcl|U00096.3_cds_QNV50519.1_267,GCA_000005845.2,argL,b4766,CDS_FASTA,96,yes,L1_short,yes
ecoli,Escherichia coli,QNV50525.1,U00096.3,lcl|U00096.3_cds_QNV50525.1_1268,GCA_000005845.2,ymiD,b4772,CDS_FASTA,129,yes,L1_short,yes
ecoli,Escherichia coli,QNV50528.1,U00096.3,lcl|U00096.3_cds_QNV50528.1_1521,GCA_000005845.2,mgtT,b4775,CDS_FASTA,105,yes,L1_short,yes
ecoli,Escherichia coli,QNV50529.1,U00096.3,lcl|U00096.3_cds_QNV50529.1_1549,GCA_000005845.2,ynfU,b4776,CDS_FASTA,171,yes,L1_short,yes
ecoli,Escherichia coli,QNV50530.1,U00096.3,lcl|U00096.3_cds_QNV50530.1_1593,GCA_000005845.2,mdtU,b4777,CDS_FASTA,102,yes,L1_short,yes
ecoli,Escherichia coli,QNV50543.1,U00096.3,lcl|U00096.3_cds_QNV50543.1_3425,GCA_000005845.2,yhiY,b4790,CDS_FASTA,114,yes,L1_short,yes
ecoli,Escherichia coli,QNV50550.1,U00096.3,lcl|U00096.3_cds_QNV50550.1_3568,GCA_000005845.2,yibY,b4796,CDS_FASTA,111,yes,L1_short,yes
ecoli,Escherichia coli,QNV50556.1,U00096.3,lcl|U00096.3_cds_QNV50556.1_4221,GCA_000005845.2,ythB,b4802,CDS_FASTA,99,yes,L1_short,yes
ecoli,Escherichia coli,QNV50557.1,U00096.3,lcl|U00096.3_cds_QNV50557.1_674,GCA_000005845.2,speFL,b4803,CDS_FASTA,105,yes,L1_short,yes
ecoli,Escherichia coli,UMR55116.1,U00096.3,lcl|U00096.3_cds_UMR55116.1_2501,GCA_000005845.2,timP,b4812,CDS_FASTA,126,yes,L1_short,yes
ecoli,Escherichia coli,AAC73124.1,U00096.3,lcl|U00096.3_cds_AAC73124.1_13,GCA_000005845.2,yaaI,b0013,CDS_FASTA,405,yes,L2_medium,yes
